Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
238,AVE,94538,832710,0,3,Centerville,False
239,WAY,94538,832600,1,3,Centerville,True
240,AVE,94538,835300,0,3,Downtown / BART,True
241,CT,94536,831730,0,3,Downtown / BART,False
242,AVE,94536,835300,0,3,Downtown / BART,True
243,ST,94538,832800,0,3,Centerville,False
244,BLVD,94538,832700,2,3,Centerville,True
245,CMN,94536,835000,0,3,Downtown / BART,False
246,CT,94538,832810,0,3,Centerville,False
247,ST,94536,835010,0,3,Centerville,False
248,CMN,94536,835100,0,3,Centerville,False
249,AVE,94536,835200,0,3,Centerville,True
250,DR,94538,832710,0,3,Centerville,False
251,CMN,94536,835100,0,3,Centerville,False
252,TER,94536,835200,0,3,Centerville,False
253,TER,94536,832110,0,3,Centerville,False
254,DR,94536,832400,0,3,Centerville,False
255,LN,94538,832610,2,3,Centerville,True
256,TER,94536,835500,0,3,Downtown / BART,False
257,CMN,94538,835310,0,3,Downtown / BART,False
258,LN,94538,832900,0,3,Centerville,False
259,DR,94538,832600,1,3,Centerville,False
260,BLVD,94538,832700,2,3,Centerville,True
261,AVE,94538,832810,0,3,Centerville,False
262,DR,94536,832110,0,3,Centerville,False
263,BLVD,94538,835310,0,3,Downtown / BART,True
264,DR,94538,832610,2,3,Centerville,True
265,BLVD,94538,832700,2,3,Centerville,True
266,ST,94536,835010,0,3,Centerville,False
267,CMN,94536,835000,0,3,Downtown / BART,False
268,CMN,94538,835310,0,3,Downtown / BART,False
269,ST,94538,835310,0,3,Downtown / BART,True
270,DR,94538,832800,0,3,Centerville,False
271,ST,94538,835310,0,3,Downtown / BART,True
272,DR,94538,832800,0,3,Centerville,False
273,DR,94536,835400,0,3,Downtown / BART,False
274,DR,94538,832810,0,3,Centerville,False
275,DR,94538,832610,1,3,Centerville,False
276,ST,94538,832810,0,3,Centerville,False
277,ST,94536,835300,0,3,Downtown / BART,True
278,AVE,94536,835500,0,3,Downtown / BART,True
279,DR,94536,835100,0,3,Centerville,False
280,RD,94538,832810,0,3,Centerville,False
281,BLVD,94538,832700,2,3,Centerville,True
282,CMN,94538,835310,0,3,Downtown / BART,True
283,ST,94536,835000,0,3,Downtown / BART,True
284,BLVD,94536,832210,1,3,Centerville,True
285,WAY,94536,835100,0,3,Centerville,False
286,RD,94538,832600,1,3,Centerville,False
287,AVE,94538,835310,0,3,Downtown / BART,True
288,DR,94536,832210,2,3,Centerville,False
289,LN,94538,832700,1,3,Centerville,False
290,DR,94536,835100,0,3,Centerville,False
291,RD,94538,832710,0,3,Centerville,False
292,BLVD,94538,832700,1,3,Centerville,True
293,RD,94538,832810,0,3,Centerville,True
294,CT,94536,835400,0,3,Downtown / BART,False
295,CT,94536,835500,0,3,Downtown / BART,False
296,AVE,94538,835300,0,3,Downtown / BART,True
297,ST,94538,832710,0,3,Centerville,False
298,CT,94538,832900,0,3,Centerville,False
299,AVE,94538,835310,0,3,Downtown / BART,True
300,DR,94536,832110,0,3,Centerville,False
301,RD,94538,832810,0,3,Centerville,True
302,TER,94536,835500,0,3,Downtown / BART,False
303,RD,94538,832600,1,3,Centerville,False
304,CMN,94538,835310,0,3,Downtown / BART,False
305,CMN,94538,835310,0,3,Downtown / BART,False
306,BLVD,94538,835310,0,3,Downtown / BART,True
307,AVE,94538,832600,1,3,Centerville,False
308,AVE,94536,832400,0,3,Centerville,False
309,WAY,94538,832600,1,3,Centerville,True
310,PL,94538,832600,1,3,Centerville,False
311,DR,94538,832620,2,3,Centerville,False
312,CIR,94536,835400,0,3,Downtown / BART,False
313,PL,94538,832910,0,3,Centerville,False
314,CMN,94538,835310,0,3,Downtown / BART,False
315,CT,94536,835400,0,3,Downtown / BART,False
316,RD,94538,832600,1,3,Centerville,False
317,CT,94536,835010,0,3,Centerville,False
318,DR,94538,832800,0,3,Centerville,False
319,BLVD,94536,835100,0,3,Centerville,True
320,RD,94536,832400,0,3,Centerville,True
321,DR,94538,832710,0,3,Centerville,False
322,AVE,94538,835310,0,3,Downtown / BART,True
323,PL,94538,832910,0,3,Centerville,False
324,CT,94536,835400,0,3,Downtown / BART,False
325,WAY,94536,832400,0,3,Centerville,False
326,ST,94536,835400,0,3,Downtown / BART,False
327,RD,94538,832600,1,3,Centerville,False
328,TER,94536,832110,0,3,Centerville,False
329,ST,94536,835200,0,3,Centerville,True
330,BLVD,94538,832700,2,3,Centerville,True
331,PL,94536,835500,0,3,Downtown / BART,False
332,DR,94536,835100,0,3,Centerville,False
333,BLVD,94538,832700,2,3,Centerville,True
334,CMN,94536,835000,0,3,Downtown / BART,False
335,ST,94536,835000,0,3,Downtown / BART,True
336,CMN,94536,835100,0,3,Centerville,True
337,CMN,94538,832610,1,3,Centerville,False
338,AVE,94536,835300,0,3,Downtown / BART,True
339,PL,94536,835410,0,3,Downtown / BART,False
340,DR,94536,835300,0,3,Downtown / BART,True
341,ST,94536,835040,0,3,Downtown / BART,False
342,DR,94536,835100,0,3,Centerville,False
343,BLVD,94538,835310,0,3,Downtown / BART,False
344,DR,94538,832810,0,3,Centerville,False
345,AVE,94536,835200,0,3,Centerville,True
346,BLVD,94538,835310,0,3,Downtown / BART,True
347,CMN,94538,835310,0,3,Downtown / BART,False
348,BLVD,94538,835310,0,3,Downtown / BART,True
349,DR,94536,835300,0,3,Downtown / BART,True
350,AVE,94536,835000,0,3,Downtown / BART,False
351,ST,94538,832800,0,3,Centerville,False
352,RD,94538,832600,1,3,Centerville,False
353,CT,94536,835010,0,3,Centerville,False
354,LN,94538,832810,0,3,Centerville,False
355,AVE,94538,832710,0,3,Centerville,False
356,CMN,94536,835500,0,3,Downtown / BART,False
357,WAY,94538,832600,1,3,Centerville,False
