Vid,Abbr,Precinct,PrecinctSub,Party,RegDate,PAV,RegDateOriginal,E6_110816,E5_060716,E4_110414,E3_060314,E2_110612,E1_060512,District,VoterScore,VoterScorePossible,VoterScorePctOfPoss,BirthYear,havePhone,BirthPlaceState,BirthPlaceCountry,Gender,sameMailAddress,MailCountry,isApt,Zip,StreetType,EmailProvider,E5_060716BT,E1_060512BT,Tot_Possible_Votes,Act_Votes,Pct_Possible_Votes,Hid
79,82,835010,0,DEM,1979-12-27,Y,1979-12-27,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1948,False,California,USA,F,True,,False,94536,LOOP,ukn,DEM,DEM,6,6,1.0,801
80,1,832810,0,DEM,2016-11-21,Y,2011-04-19,A,A,N,N,A,A,3,8.0051,11.0063,0.73,1987,False,California,USA,F,True,,False,94538,ST,ukn,DEM,DEM,6,4,0.6666666666666666,5748
81,39,835300,0,DEM,2018-04-09,N,2017-04-21,,,,,,,3,0.0,-1.0,-1.0,1988,False,UKN,UKN,UNK,True,,True,94536,ST,ukn,,,0,0,-1.0,1379
82,1,832700,2,NPP,2015-06-05,Y,2012-02-22,N,A,N,N,V,A,3,5.505,11.0063,0.5,1971,True,UKN,India,F,True,,True,94538,BLVD,ukn,NPP,DEM,6,3,0.5,5779
83,12,835400,0,NPP,2014-11-04,Y,2013-12-10,A,N,V,N,,,3,4.3005,8.5015,0.51,1973,True,UKN,India,F,True,,False,94536,CT,ukn,NPP,,4,2,0.5,6800
84,82,832620,2,DEM,1986-09-23,Y,1986-09-23,A,A,A,N,A,A,3,9.8055,11.0063,0.89,1957,True,Washington,USA,F,True,,False,94538,WAY,ukn,DEM,DEM,6,5,0.8333333333333334,2894
85,76,832800,0,DEM,2008-02-05,Y,2000-04-25,N,N,N,N,N,N,3,0.0,11.0063,0.0,1935,True,UKN,China,M,True,,False,94538,ST,ukn,DEM,DEM,6,0,0.0,3148
86,16,835500,0,NPP,2016-04-17,Y,2012-05-17,N,A,N,N,N,A,3,4.0034,11.0063,0.36,1969,True,UKN,India,F,True,,False,94536,CMN,gmail.com,NPP,NP,6,2,0.3333333333333333,1032
87,23,835200,0,DEM,2017-08-30,Y,2016-08-29,A,,,,,,3,2.5001,2.5001,1.0,1990,True,UKN,Philippines,F,True,,True,94536,AVE,yahoo.com,,,1,1,1.0,6581
88,99,835040,0,DEM,2016-10-24,N,2004-10-08,V,N,N,N,N,N,3,2.5001,11.0063,0.23,1967,True,California,USA,M,True,,False,94536,ST,gmail.com,,,6,1,0.16666666666666666,5907
89,6,832900,0,DEM,2003-11-20,N,2003-10-16,N,N,N,N,N,N,3,0.0,11.0063,0.0,1984,True,California,USA,F,True,,False,94538,CT,aol.com,,,6,0,0.0,2644
90,111,832710,0,NPP,2017-02-16,Y,2017-02-16,,,,,,,3,0.0,-1.0,-1.0,1999,False,UKN,UKN,M,True,,False,94538,DR,ukn,,,0,0,-1.0,4379
