Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid,nVoters,nAff,nPAVs,nDEMs,nREPs,nNPPs,nVScorePos,nVScore,nVScorePct,E34_nVotesPos,E34_nVotes,E34_nVotesPct,E56_nVotesPos,E56_nVotes,E56_nVotesPct,E78_nVotesPos,E78_nVotes,E78_nVotesPct,E12_nVotesPos,E12_nVotes,E12_nVotesPct,E14_nVotesPos,E14_nVotes,E14_nVotesPct,E16_nVotesPos,E16_nVotes,E16_nVotesPct,Eap_nVotesPos,Eap_nVotes,Eap_nVotesPct,Eag_nVotesPos,Eag_nVotes,Eag_nVotesPct,E1_nVotesPos,E1_nVotes,E1_nVotesPct,E2_nVotesPos,E2_nVotes,E2_nVotesPct,E3_nVotesPos,E3_nVotes,E3_nVotesPct,E4_nVotesPos,E4_nVotes,E4_nVotesPct,E5_nVotesPos,E5_nVotes,E5_nVotesPct,E6_nVotesPos,E6_nVotes,E6_nVotesPct,PartiesInHH,mostAffls,mixedAffls,allAff,uniformAff
27,DR,94538,832900,0,3,Centerville,False,27,1,1,1,1,0,0,11.0063,9.2059,0.8364209589053542,2,2,1.0,4,3,0.75,6,5,0.8333333333333334,2,2,1.0,2,1,0.5,2,2,1.0,3,3,1.0,3,2,0.6666666666666666,1,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1,1.0,DEM,DEM,False,True,True
28,ST,94538,832800,0,3,Centerville,False,28,1,0,1,0,0,1,11.0063,9.8055,0.8908988488411184,2,2,1.0,4,3,0.75,6,5,0.8333333333333334,2,2,1.0,2,1,0.5,2,2,1.0,3,2,0.6666666666666666,3,3,1.0,1,1,1.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,NPP,NPP,False,False,True
29,CT,94538,832800,0,3,Centerville,False,29,2,2,2,2,0,0,11.0006,11.0006,1.0,0,0,-1.0,0,0,-1.0,4,4,1.0,0,0,-1.0,0,0,-1.0,4,4,1.0,2,2,1.0,2,2,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,2,2,1.0,DEM DEM,DEM,False,True,True
30,CT,94536,835500,0,3,Downtown / BART,False,30,3,2,0,2,0,1,33.0189,11.8025,0.3574467956231128,6,1,0.16666666666666666,12,2,0.16666666666666666,18,5,0.2777777777777778,6,1,0.16666666666666666,6,1,0.16666666666666666,6,3,0.5,9,2,0.2222222222222222,9,3,0.3333333333333333,3,0,0.0,3,1,0.3333333333333333,3,0,0.0,3,1,0.3333333333333333,3,2,0.6666666666666666,3,1,0.3333333333333333,DEM NPP DEM,DEM,False,False,False
31,CMN,94536,835000,0,3,Downtown / BART,False,31,2,0,0,0,0,2,0.0,0.0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,NPP NPP,NPP,False,False,True
32,DR,94538,832810,0,3,Centerville,False,32,1,0,1,0,0,1,11.0063,4.5018,0.4090202883802913,2,1,0.5,4,1,0.25,6,2,0.3333333333333333,2,1,0.5,2,0,0.0,2,1,0.5,3,1,0.3333333333333333,3,1,0.3333333333333333,1,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,1,1,1.0,1,0,0.0,NPP,NPP,False,False,True
33,CT,94536,835100,0,3,Centerville,False,33,1,0,1,0,0,1,10.0031,10.0031,1.0,1,1,1.0,3,3,1.0,5,5,1.0,1,1,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,0,0,-1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,NPP,NPP,False,False,True
34,ST,94536,835000,0,3,Downtown / BART,True,34,2,2,1,2,0,0,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,DEM DEM,DEM,False,True,True
35,ST,94538,832710,0,3,Centerville,False,35,1,1,0,0,1,0,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,REP,REP,False,True,True
36,PL/TER,94538,832910,0,3,Centerville,False,36,2,2,2,2,0,0,11.0063,8.8023,0.799751051670407,2,1,0.5,4,2,0.5,6,4,0.6666666666666666,2,1,0.5,2,1,0.5,2,2,1.0,3,1,0.3333333333333333,3,3,1.0,1,0,0.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,DEM DEM,DEM,False,True,True
37,BLVD,94538,835310,0,3,Downtown / BART,True,37,1,1,0,0,1,0,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,REP,REP,False,True,True
38,CT,94538,832620,1,3,Centerville,False,38,1,1,1,1,0,0,11.0063,11.0063,1.0,2,2,1.0,4,4,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,3,3,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,DEM,DEM,False,True,True
