Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
239,ST,94536,835400,0,3,Downtown / BART,False
240,AVE,94538,832710,0,3,Centerville,False
241,PL,94538,832910,0,3,Centerville,False
242,CMN,94538,835310,0,3,Downtown / BART,False
243,CMN,94538,835310,0,3,Downtown / BART,False
244,CMN,94536,835100,0,3,Centerville,False
245,DR,94538,832810,0,3,Centerville,False
246,CMN,94538,835310,0,3,Downtown / BART,False
247,ST,94538,832800,0,3,Centerville,False
248,CT,94538,832600,1,3,Centerville,False
249,WAY,94538,832600,1,3,Centerville,False
250,CT,94538,832710,0,3,Centerville,False
251,CT,94538,832900,0,3,Centerville,False
252,WAY,94536,835040,0,3,Downtown / BART,False
253,DR,94538,832800,0,3,Centerville,False
254,BLVD,94538,835310,0,3,Downtown / BART,False
255,AVE,94536,835040,0,3,Downtown / BART,False
256,DR,94538,832800,0,3,Centerville,False
257,AVE,94538,835300,0,3,Downtown / BART,True
258,TER,94538,832910,0,3,Centerville,False
259,DR,94538,832810,0,3,Centerville,False
260,ST,94538,832800,0,3,Centerville,False
261,CT,94538,832600,1,3,Centerville,False
262,CT,94536,835400,0,3,Downtown / BART,False
263,DR,94538,832810,0,3,Centerville,False
264,CT,94538,832800,0,3,Centerville,False
265,WAY,94538,832620,2,3,Centerville,False
266,CMN,94536,835300,0,3,Downtown / BART,False
267,CMN,94536,835000,0,3,Downtown / BART,False
268,ST,94538,832800,0,3,Centerville,False
269,CT,94538,832600,1,3,Centerville,False
270,PL,94536,835500,0,3,Downtown / BART,False
271,CMN,94536,835010,0,3,Centerville,False
272,ST,94538,832800,0,3,Centerville,False
273,DR,94536,832400,0,3,Centerville,False
274,RD,94538,832900,0,3,Centerville,False
275,DR,94536,835300,0,3,Downtown / BART,True
276,BLVD,94538,832700,2,3,Centerville,False
277,AVE,94538,832800,0,3,Centerville,False
278,DR,94538,832900,0,3,Centerville,False
279,BLVD,94538,832700,2,3,Centerville,True
280,DR,94538,832900,0,3,Centerville,False
281,TER,94538,832610,2,3,Centerville,False
282,DR,94538,832610,1,3,Centerville,False
283,DR,94538,832810,0,3,Centerville,False
284,AVE,94536,835300,0,3,Downtown / BART,False
285,BLVD,94536,835100,0,3,Centerville,True
286,ST,94536,832110,0,3,Centerville,False
287,DR,94538,832900,0,3,Centerville,False
288,RD,94538,832710,0,3,Centerville,False
289,BLVD,94538,832700,2,3,Centerville,True
290,RD,94538,832600,1,3,Centerville,False
291,ST,94536,832210,1,3,Centerville,False
292,CT,94538,832600,1,3,Centerville,False
293,CMN,94538,835310,0,3,Downtown / BART,False
294,DR,94538,832900,0,3,Centerville,False
295,AVE,94536,835200,0,3,Centerville,True
296,CMN,94536,835300,0,3,Downtown / BART,False
297,ST,94536,835000,0,3,Downtown / BART,True
298,ST,94538,835310,0,3,Downtown / BART,True
299,ST,94536,835010,0,3,Centerville,False
300,AVE,94536,835200,0,3,Centerville,True
301,CT,94538,832800,0,3,Centerville,False
302,AVE,94538,835310,0,3,Downtown / BART,True
303,DR,94536,835300,0,3,Downtown / BART,True
304,AVE,94536,835500,0,3,Downtown / BART,True
305,AVE,94538,832600,1,3,Centerville,False
306,CT,94536,835010,0,3,Centerville,False
307,CMN,94538,835310,0,3,Downtown / BART,False
308,AVE,94536,835040,0,3,Downtown / BART,False
309,DR,94536,835300,0,3,Downtown / BART,True
310,PL,94536,835410,0,3,Downtown / BART,False
311,AVE,94538,832710,0,3,Centerville,False
312,RD,94538,832600,1,3,Centerville,False
313,DR,94536,832400,0,3,Centerville,False
314,DR,94538,835310,0,3,Downtown / BART,True
315,ST,94538,832800,0,3,Centerville,False
316,BLVD,94538,835310,0,3,Downtown / BART,True
317,CT,94536,835010,0,3,Centerville,False
318,CMN,94536,835000,0,3,Downtown / BART,False
319,DR,94538,832900,0,3,Centerville,False
320,CMN,94538,835310,0,3,Downtown / BART,False
321,BLVD,94538,835310,0,3,Downtown / BART,True
322,CT,94536,832110,0,3,Centerville,False
323,AVE,94538,832600,1,3,Centerville,True
324,ST,94538,832800,0,3,Centerville,False
325,CMN,94538,835310,0,3,Downtown / BART,False
326,ST,94536,835300,0,3,Downtown / BART,True
327,AVE,94538,832210,2,3,Centerville,False
328,BLVD,94538,832700,2,3,Centerville,True
329,AVE,94536,835300,0,3,Downtown / BART,True
330,DR,94538,835310,0,3,Downtown / BART,True
331,LOOP,94536,835010,0,3,Centerville,False
332,WAY,94536,832400,0,3,Centerville,False
