Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid
168,TER,94538,835420,0,3,Downtown / BART,False,168
169,LOOP,94536,835010,0,3,Centerville,False,169
170,WAY,94536,832400,0,3,Centerville,False,170
171,DR,94538,832810,0,3,Centerville,False,171
172,DR,94538,832800,0,3,Centerville,False,172
173,BLVD,94538,835310,0,3,Downtown / BART,True,173
174,AVE,94538,832710,0,3,Centerville,False,174
175,ST,94536,835000,0,3,Downtown / BART,True,175
176,CT,94538,832600,1,3,Centerville,False,176
177,CT,94536,835100,0,3,Centerville,False,177
178,GRN,94536,835420,0,3,Downtown / BART,False,178
179,RD,94538,832810,0,3,Centerville,False,179
180,AVE,94538,832600,1,3,Centerville,False,180
181,DR,94536,835400,0,3,Downtown / BART,False,181
182,DR,94536,832110,0,3,Centerville,False,182
183,CT,94536,832400,0,3,Centerville,False,183
184,CT,94538,832800,0,3,Centerville,False,184
185,ST,94536,832110,0,3,Centerville,False,185
186,CMN,94536,835100,0,3,Centerville,False,186
187,WAY,94536,835100,0,3,Centerville,False,187
188,ST,94536,835100,0,3,Centerville,False,188
189,CT,94536,835400,0,3,Downtown / BART,False,189
190,BLVD,94538,835310,0,3,Downtown / BART,True,190
191,AVE,94536,832210,2,3,Centerville,False,191
192,DR,94536,831730,0,3,Downtown / BART,False,192
193,DR,94536,835300,0,3,Downtown / BART,True,193
194,DR,94536,835300,0,3,Downtown / BART,True,194
195,BLVD,94538,832700,2,3,Centerville,True,195
196,ST,94538,832800,0,3,Centerville,False,196
197,WAY,94538,832620,2,3,Centerville,False,197
198,CT,94536,835010,0,3,Centerville,False,198
199,WAY,94536,832210,2,3,Centerville,False,199
200,BLVD,94538,835310,0,3,Downtown / BART,False,200
201,BLVD,94538,832700,2,3,Centerville,True,201
202,CMN,94538,835310,0,3,Downtown / BART,False,202
203,AVE,94538,835300,0,3,Downtown / BART,True,203
204,AVE,94536,835040,0,3,Downtown / BART,False,204
205,CT,94538,832600,1,3,Centerville,False,205
206,ST,94536,835000,0,3,Downtown / BART,True,206
207,CMN,94536,835100,0,3,Centerville,False,207
